Year,Area,St,St 2
2011,,Arcadian Centre,
2011,,Arcadian Centre Bham,
2011,,"Arcadian Centre, Birmingham",
2011,,"Arcadian Centre, Birmingham City Centre",
2011,,"Arcadian Centre, Ladywell Walk",
2011,,"Arcadian Centre, Ladywell Walk",
2011,,"Arcadian Entertainment Centre, Birmingham",
2011,,"Arcadian, City Centre",
2011,,"Arcadian, Hurst St",
2011,,Aston Hotel,
2011,,Aston Police Station,
2011,,Aston Villa Football Ground,
2011,,Attenborough Close,
2011,,"Away Fans Coach Park, Bham Cfc",
2011,,Away Supporters Entrance Bcfc,
2011,,Bar Risa,
2011,,"Bath Row, Birmingham",
2011,,"Bath St,City Centre",
2011,,Bcfc Home Fans Car Aprke,
2011,,Bcfc Ground,
2011,,Bcfc Tilton Rd Entrance,
2011,,Berkeley St,
2011,,Berkeley St,
2011,,Berkley St,
2011,,B'Ham New St Station,
2011,,"Big Bite, BRd St",
2011,,"Bigwok Restaurant, Birmingham",
2011,,"Birchfield Rd, Perry Barr",
2011,,"Birchfield Rd, Birmingham",
2011,,"Birchfield Rd, City Centre",
2011,,Birchfiled Rd,
2011,,Birmingham City Fc Aaiya Coach Park,
2011,,Birmingham Magistrates Court,
2011,,Birmingham New St,
2011,,Birmingham New St Station,
2011,,"Birmingham New St,",
2011,,Bishopgate St  Junction Of BRd St,
2011,,"Bishopgate St, City Centre",
2011,,Bishopsgate St,
2011,,"Bliss Bar, BRd St",
2011,,"Bliss Nightclub, BRd St, Birmingham",
2011,,"Bliss Nightclub, BRd St",
2011,,"Bliss, BRd St",
2011,,Bordesley Green,
2011,,Bordesley Green Rd,
2011,,"Bradford St, Birmingham",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,Briar Rose Ph Bennetts Hill,
2011,,Brighton Arms Ph,
2011,,"Bristol Rd, Birmingham",
2011,,"Bristol Rd, Edgbaston",
2011,,"Bristol St, Birmingham City Centre",
2011,,Bristol St,
2011,,Bristol St,
2011,,Bristol St South,
2011,,Bristol St South,
2011,,Brittania Hotel,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,"BRd St  Gas St, City Centre",
2011,,BRd St Bham,
2011,,BRd St Bham,
2011,,BRd St City Centre,
2011,,BRd St City Centre Birmingham,
2011,,"BRd St, Bham",
2011,,"BRd St, Bham",
2011,,"BRd St, Bham",
2011,,"BRd St, Bham",
2011,,"BRd St, Bham",
2011,,"BRd St, Bham",
2011,,"BRd St, Bham",
2011,,"BRd St, Bham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
